name,level,prices,score,review,address,time,tel,X,Y
八达岭水关长城景区,4A,35元,4.4,497条点评,北京市延庆区八达岭镇石佛寺村,全年 09:00-16:00,"010-69121474,010-61118002",116.038842,40.337025
八达岭长城风景名胜区,5A,35元,4.7,32943条点评,北京市延庆区G6京藏高速58号出口,全年 07:30-16:00,010-69122222,116.0198,40.3614
八大处公园,4A,30元,4.7,2039条点评,北京市石景山区西山风景区南麓八大处公园,1月1日-3月15日 06:00-17:30；3月16日-8月31日 06:00-18:30；9月1日-11月15日 06:00-18:00；11月16日-12月31日 06:00-17:30,"010-88961869,010-88964661",116.183823,39.962324
八奇洞,4A,54元,4.4,101条点评,北京市门头沟区潭柘寺镇平原村,全年 08:30-17:00(最晚入园16:30)；8:30-17：00，16：30停止入场,"010-60863056,010-60863057",116.027453,39.893358
北宫国家森林公园,4A,5元,4.6,753条点评,北京市丰台区长辛店镇大灰厂东路55号,全年 07:00-19:00(最晚入园17:00),010-83840830,116.117756,39.866114
北海公园,4A,旺季：10元；淡季：5元,4.7,4633条点评,北京市西城区文津街1号,4月1日-10月31日 06:00-21:00(最晚入园20:30)；11月1日-次年3月31日 06:30-20:00(最晚入园19:30),"010-64031102,010-64033225",116.391746,39.928614
北京奥林匹克水上公园,4A,20元,4.5,267条点评,北京市顺义区白马路19号,全年 09:00-17:00(最晚入园16:45),010-89482008,116.69273,40.180524
北京动物园,4A,170元,4.5,4902条点评,北京市西直门外大街137号,4月1日-10月31日 07:30-19:00(最晚入园18:00)；11月1日-次年3月31日 07:30-18:00(最晚入园17:00)；已开放室外公共游览区域,"010-68390274,010-68314411",116.33668,39.942117
北京海洋馆,4A,170元,4.5,4694条,北京市海淀区高粱桥斜街乙18号,"4月1日-10月31日 09:00-17:30(停止售票16:30,最晚入园17:00)；11月1日-次年3月31日 10:00-16:30(停止售票15:30,最晚入园16:00)",010-62176655,116.340971,39.944676
北京韩美林艺术馆,4A,0元,4.6,131条点评,北京市梨园镇九棵树东路68号,全年 周一 不开放 周二至周日 09:00-17:00(最晚入园16:00),010-59751888,116.677054,39.875742
北京欢乐谷,4A,299元,4.7,16216条点评,北京市朝阳区金蝉西路东四环小武基北路(四方桥东南),"1月1日-1月3日 周一,周六至周日 10:00-20:30；1月4日-1月31日 周一至周五 10:00-17:30 周六至周日 10:00-20:30；2月1日-2月15日 10:00-20:30；2月16日-3月15日 周一至周五 10:00-17:30 周六至周日 10:00-20:30；12月31日 周五 10:00-22:00","010-67389898,010-67383333,010-67201818",116.494743,39.867355
北京黄花城水长城旅游区,4A,58元,4.7,2079条点评,北京市怀柔区九渡河镇西水峪,全年（冬令时） 08:30-16:00；全年（夏令时(周日)） 08:00-17:00；全年（夏令时(周一至周五)） 08:30-17:00；全年（夏令时(周六)） 08:00-18:00,"010-61651111,010-61651818,010-61651111",116.303862,40.413026
北京平谷青龙山旅游区,4A,0元,4.8,13条点评,北京市平谷区东高村镇大旺务村688号,8:00-17:00,010-69909090,177.150124,40.077831
北京汽车博物馆,4A,25元,4.7,5307条点评,北京市丰台区南四环西路126号,"全年 周二至周日 09:00-17:00(停止售票16:00,最晚入园16:30) 周一 不开放；中国法定节假日 09:00-17:00(停止售票16:00,最晚入园16:30)",010-63756666,116.301692,39.828941
北京十渡风景名胜区,4A,0元,4.5,672条点评,北京市房山区九渡大街9号,全年 08:00-16:00,"010-57453300,15501045682,400-7657587",115.610697,39.64063
北京市奥林匹克公园,5A,0元,暂无评分,暂无数据,北京市朝阳区北辰东路15号,5月1日-10月31日 06:30-22:00；11月1日-次年4月30日 07:30-21:30,"010-84992008,010-84972797",116.3948,39.9952
北京市植物园,4A,10元,4.6,1267条点评,北京市海淀区香山卧佛寺路北京植物园,3月16日-11月15日 06:00-21:00(最晚入园20:00)；11月16日-次年3月15日 06:30-19:00(最晚入园18:00),"010-82598771,010-82712345,010-62591283",116.209386,40.001801
北京顺义国际鲜花港,4A,30元,4.6,3774条点评,北京市顺义区杨镇红寺村北,全年 09:00-17:00(最晚入园17:00),010-61417123,116.796608,40.181617
北京天文馆,4A,10元,4.5,900条点评,北京市西城区西直门外大街138号（动物园对面）,全年 周三至周日 09:00-16:30(最晚入园16:00) 周一至周二 不开放；中国法定节假日 09:00-16:30(最晚入园16:00)；每周一、周二闭馆，周一周二如遇法定假日正常营业,010-51583311,116.336812,39.937285
北京丫髻山道教文化名胜区,4A,50元,4.7,246条点评,北京市平谷区刘家店镇,7月1日-12月31日 08:00-17:00(最晚入园15:30)；夏令时8：00-17：00，15：30停止入场；冬令时8：00-15：00，15：00停止入场。,010-61972535,116.982492,40.264722
北京渔阳国际滑雪场景区,4A,160元,4.4,471条点评,北京市平谷区东高村镇大旺务村688号(近渔阳酒店),12月20日-次年2月28日（周一至周日日场） 08:00-17:00；12月20日-次年2月28日（周一至周日夜场） 18:00-22:00。,暂无数据,117.147716,40.077197
