name,level,prices,score,review,address,time,tel,X,Y
史家胡同博物馆,非45A,0元,4.8,123条点评,北京市东城区东四街道东四南大街史家胡同24号,09:30开放?,"010-85175790,010-65251069",116.4290269,39.92445131
中国国家话剧院,非45A,0元,4.7,120条点评,北京市西城区广安门外大街277号,08:30-20:30开放?,"4006-101-101,010-83069696",116.342693,39.89628611
人民英雄纪念碑,非45A,0元,暂无评分,暂无数据,北京市东城区天安门广场中央,全天开放；如遇活动和庆典会提前清场。,010-63095745,116.4040257,39.91090608
西什库教堂（北堂）,非45A,0元,4.7,175条点评,北京市西城区西什库大街33号,"全年 周一至周六 08:00-11:00,14:00-17:00 周日 全天开放",010-66175198,116.385221,39.93132811
工人体育场,非45A,暂无数据,4.7,171条点评,北京市东城区工人体育场北路,具体开放时间请咨询景区,"010-65025505,010-65016655",116.453507,39.937061
宋庆龄故居,非45A,20元,暂无评分,暂无数据,北京市西城区后海北沿46号,全文开放时间全年 周一 不开放；4月1日-10月31日 周二至周日 09:00-17:30(最晚入园17:00)；11月1日-次年3月31日 周二至周日 09:00-16:30(最晚入园16:00)；周一闭馆（节假日除外）。,"讲解预约、团队活动：010-64015256,门票咨询：010-64044205转829,旅游咨询：010-64044205转815公告信息春节闭园通知",116.389485,39.951765
北京展览馆,非45A,0元,4.6,319条点评,北京市西城区西直门外大街135号,成就展8:30-18:00，17:00停止入场；展览不同时间不同，详情可电话咨询,010-57960055,116.3506679,39.9461192
老舍茶馆,非45A,暂无数据,4.6,972条点评,北京市西城区前门西大街正阳市场3号楼,全年 10:00-22:00；（具体演出时间参考各票种详情）,010-63036830,116.4189955,40.01239226
国家大剧院,非45A,0元,4.6,1805条点评,北京市西城区西长安街2号,全年 周二至周日 09:00-17:00(最晚入园16:30) 周一 不开放；中国法定节假日 09:00-17:00(最晚入园16:30),010-66550000,116.3962584,39.91122576
天安门城楼,非45A,15元,4.6,1592条点评,北京市东城区东长安街天安门广场北侧,全年（淡季） 08:30-15:30；全年（旺季） 08:30-16:30,010-63095630,116.39145,39.907325
坡峰岭,非45A,60元,4.6,1384条点评,北京市房山区周口店镇黄山店村境内西北3公里处,全年 08:00-17:00；红叶节期间开放时间：7:00-18:00,"010-89304901,15652000852",115.866702,39.694852
海棠花溪,非45A,0元,4.8,129条点评,北京市朝阳区北土城东路甲100号元大都遗址公园内(近樱花园西街),全年全天开放?,010-84645063,116.40534,39.982922
龙庆峡冰灯,非45A,100元,4.6,2124条点评,北京市延庆区旧县镇古城村北,"1月15日-1月30日 14:00-22:00(停止售票21:00,最晚入园21:30)；1月31日 14:00-20:00(停止售票18:30,最晚入园19:00)；2月1日-2月6日 10:00-22:00(停止售票21:00,最晚入园21:30)；2月7日-3月10日 14:00-22:00(停止售票21:00,最晚入园21:30)","010-69191020,010-69191034",116.3396371,39.93357049
雍和宫,非45A,25元,4.6,2256条点评,北京市东城区雍和宫大街12号,4月1日-10月31日 09:00-17:00(停止售票16:30)；11月1日-次年3月31日 09:00-16:30(停止售票16:00),"010-84191906,010-84191902,010-84191919,010-64044499",116.4236325,39.95363795
升旗仪式,非45A,0元,暂无评分,暂无数据,北京市天安门广场南端,具体开放时间请咨询景区,暂无数据,116.40392,39.913275
古北水镇,非45A,140元,4.6,10446条点评,北京市密云区古北口镇司马台村古北水镇,全年 09:00-23:00(最晚入园22:00)；10.1-10.7日 夜游长城检票时间为17：30-21:40  游船检票时间：8:00-22:30  水镇+长城+单索/双索；长城+单索/双索 索道下站时间：8:00-16:30,暂无数据,115.844312,39.709338
中国美术馆,非45A,0元,4.7,626条点评,北京市东城区五四大街一号,全年 周二至周日 09:00-17:00 周一 不开放；中国法定节假日 09:00-17:00,010-64001476,116.4154486,39.93147313
蓝色港湾,非45A,0元,4.8,227条点评,北京市朝阳区朝阳公园路6号,平日全天开放，商场9:00-22:00,"010-59056611,010-59056582,010-59056586,010-59056663",116.5358244,40.39802202
中国地质博物馆,非45A,15元,4.7,679条点评,北京市西城区西四羊肉胡同15号,全年 周二至周日 09:00-16:30(最晚入园16:00) 周一 不开放；开放时间：9:00-16:30（16:00停止售票）；周一闭馆,010-66557858,116.3786534,39.92951783
北京西山国家森林公园,非45A,10元,4.7,1351条点评,北京市海淀区闵庄路与香山南路交叉口西行100米,1月1日-12月31日 08:00-17:00,010-62720251,116.086286,40.0615841
南山滑雪场,非45A,325元,4.7,1437条点评,北京市密云区河南寨镇圣水头村,"12月1日-次年2月28日 09:00-17:00,18:30-21:30；2021年11月27日-2021年12月3日",010-89091909,113.9275188,22.5308361
北京杜莎夫人蜡像馆,非45A,150元,4.7,3673条点评,北京市东城区前门大街18号,全年 周一至周五 10:00-18:00(最晚入园17:00) 周六至周日 10:00-21:00(最晚入园20:00),010-67060936,116.4046682,39.90365789
